--------------------------------------------------------------------------------

		Marvellous Infosystems Process Log
		Log file is created at : Mon Jun 23 00:24:25 2025
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10084, 'vms': 37.5234375} 

{'name': 'CrossDeviceResume.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10160, 'vms': 43.42578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 10236, 'vms': 2.66796875} 

{'name': 'svchost.exe', 'username': None, 'pid': 10324, 'vms': 2.78515625} 

{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10648, 'vms': 3.09765625} 

{'name': 'msedge.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10700, 'vms': 41.328125} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10764, 'vms': 2.0546875} 

{'name': 'conhost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10900, 'vms': 1.34375} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10916, 'vms': 89.30078125} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 10928, 'vms': 7.828125} 

{'name': 'OpenConsole.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11044, 'vms': 2.66015625} 

{'name': 'SearchIndexer.exe', 'username': None, 'pid': 11096, 'vms': 10.02734375} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11228, 'vms': 2.98046875} 

{'name': 'msedge.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11292, 'vms': 56.73046875} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11368, 'vms': 69.87890625} 

{'name': 'python.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11548, 'vms': 9.5} 

{'name': 'svchost.exe', 'username': None, 'pid': 11720, 'vms': 3.46484375} 

{'name': 'svchost.exe', 'username': None, 'pid': 11724, 'vms': 2.25390625} 

{'name': 'msedge.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11748, 'vms': 2.2734375} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11752, 'vms': 106.6328125} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11780, 'vms': 8.890625} 

{'name': 'conhost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 11808, 'vms': 1.3828125} 

{'name': 'svchost.exe', 'username': None, 'pid': 11868, 'vms': 4.3515625} 

{'name': 'SystemSettings.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 12040, 'vms': 147.6328125} 

{'name': 'winlogon.exe', 'username': None, 'pid': 12236, 'vms': 2.5} 

{'name': 'armsvc.exe', 'username': None, 'pid': 12404, 'vms': 1.4609375} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 12480, 'vms': 7.203125} 

{'name': 'conhost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 12500, 'vms': 1.34765625} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 12616, 'vms': 99.2421875} 

{'name': 'OneDrive.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 12636, 'vms': 81.078125} 

{'name': 'fontdrvhost.exe', 'username': None, 'pid': 13024, 'vms': 2.00390625} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13044, 'vms': 2.40625} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13368, 'vms': 113.74609375} 

{'name': 'NisSrv.exe', 'username': None, 'pid': 13380, 'vms': 4.30078125} 

{'name': 'svchost.exe', 'username': None, 'pid': 13536, 'vms': 2.0234375} 

{'name': 'powershell.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13592, 'vms': 48.40625} 

{'name': 'WidgetService.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13616, 'vms': 4.62890625} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13656, 'vms': 28.09765625} 

{'name': 'sihost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 13904, 'vms': 7.25} 

{'name': 'svchost.exe', 'username': None, 'pid': 13960, 'vms': 3.234375} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14216, 'vms': 22.29296875} 

{'name': 'msedge.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14316, 'vms': 12.13671875} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14416, 'vms': 86.66796875} 

{'name': 'SearchHost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14512, 'vms': 75.27734375} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14704, 'vms': 28.015625} 

{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14800, 'vms': 6.44921875} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14824, 'vms': 2.84765625} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14868, 'vms': 8.453125} 

{'name': 'dllhost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 14972, 'vms': 2.5703125} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 15032, 'vms': 2.20703125} 

{'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 15336, 'vms': 1.73046875} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 15784, 'vms': 2.26171875} 

{'name': 'explorer.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 15844, 'vms': 338.84765625} 

{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 16012, 'vms': 3.01953125} 

{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 16308, 'vms': 2.4296875} 

--------------------------------------------------------------------------------
